ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
94509,2,2017,Gas- Commercial,Y,914,206088,225
94509,3,2017,Gas- Commercial,Y,913,176717,194
94510,1,2017,Gas- Commercial,N,530,149822,283
94510,2,2017,Gas- Commercial,N,530,100222,189
94510,3,2017,Gas- Commercial,N,528,86163,163
94513,1,2017,Gas- Commercial,Y,911,281318,309
94513,2,2017,Gas- Commercial,Y,911,182209,200
94513,3,2017,Gas- Commercial,Y,905,153178,169
94514,1,2017,Gas- Commercial,Y,0,0,NA
94514,2,2017,Gas- Commercial,Y,0,0,NA
94514,3,2017,Gas- Commercial,Y,0,0,NA
94515,1,2017,Gas- Commercial,N,161,54676,340
94515,2,2017,Gas- Commercial,N,160,42963,269
94515,3,2017,Gas- Commercial,Y,0,0,NA
94517,1,2017,Gas- Commercial,Y,0,0,NA
94517,2,2017,Gas- Commercial,Y,0,0,NA
94517,3,2017,Gas- Commercial,Y,0,0,NA
94518,1,2017,Gas- Commercial,Y,437,142176,325
94518,2,2017,Gas- Commercial,Y,437,92346,211
94518,3,2017,Gas- Commercial,Y,657,164954,251
94519,1,2017,Gas- Commercial,Y,0,0,NA
94519,2,2017,Gas- Commercial,Y,0,0,NA
94519,3,2017,Gas- Commercial,Y,0,0,NA
94520,1,2017,Gas- Commercial,N,1029,524774,510
